freq,zmeasR,zmeasI,zerrR,zerrI
1.0,334.1737,-80.1312,3.3417,0.8013
1.15,328.6137,-74.6274,3.2861,0.7463
1.33,323.4363,-69.5115,3.2344,0.6951
1.54,318.6146,-64.7573,3.1861,0.6476
1.78,314.1236,-60.3401,3.1412,0.6034
2.05,309.9398,-56.2374,3.0994,0.5624
2.37,306.0417,-52.4282,3.0604,0.5243
2.74,302.4089,-48.8931,3.0241,0.4889
3.16,299.0224,-45.6139,2.9902,0.4561
3.65,295.8646,-42.574,2.9586,0.4257
4.22,292.9191,-39.7581,2.9292,0.3976
4.87,290.1703,-37.152,2.9017,0.3715
5.62,287.6039,-34.7427,2.8760,0.3474
6.49,285.2063,-32.5182,2.8521,0.3252
7.5,282.9649,-30.4676,2.8296,0.3047
8.66,280.8678,-28.5808,2.8087,0.2858
10.0,278.9038,-26.8488,2.7897,0.2685
11.55,277.0623,-25.2635,2.7706,0.2526
13.34,275.3333,-23.8174,2.7533,0.2382
15.4,273.7074,-22.504,2.7371,0.225
17.78,272.1755,-21.3176,2.7218,0.2132
20.54,270.7291,-20.2531,2.7073,0.2025
23.71,269.3599,-19.3063,2.6936,0.1931
27.38,268.0598,-18.4736,2.6806,0.1847
31.62,266.821,-17.7523,2.6682,0.1775
36.52,265.636,-17.14,2.6564,0.1714
42.17,264.4972,-16.6354,2.645,0.16640
48.7,263.397,-16.2378,2.634,0.1624
56.23,262.3278,-15.9468,2.6233,0.1595
64.94,261.2819,-15.7632,2.6128,0.1576
74.99,260.2514,-15.6879,2.6025,0.1569
86.6,259.2279,-15.7229,2.5923,0.1572
100.0,258.2027,-15.8703,2.582,0.1587
115.48,257.1664,-16.133,2.5717,0.1613
133.35,256.1093,-16.5145,2.5611,0.16510
153.99,255.0204,-17.0182,2.5502,0.1702
177.83,253.888,-17.6482,2.5389,0.1765
205.35,252.6994,-18.4084,2.527,0.1841
237.14,251.4403,-19.3028,2.5144,0.193
273.84,250.0954,-20.3349,2.501,0.2033
316.23,248.6475,-21.5075,2.4865,0.2151
365.17,247.0779,-22.8224,2.4708,0.2282
421.7,245.3663,-24.2797,2.4537,0.24280
486.97,243.4907,-25.8773,2.4349,0.2588
562.34,241.4274,-27.6103,2.4143,0.2761
649.38,239.1519,-29.4704,2.3915,0.2947
749.89,236.6386,-31.4446,2.3664,0.3144
865.96,233.8623,-33.5149,2.3386,0.3351
1000.0,230.7987,-35.6577,2.3080,0.3566
1154.78,227.4262,-37.8425,2.2743,0.3784
1333.52,223.7273,-40.0327,2.2373,0.4003
1539.93,219.6904,-42.1849,2.1969,0.4218
1778.28,215.3124,-44.2504,2.1531,0.4425
2053.53,210.6,-46.1762,2.106,0.4618
2371.37,205.572,-47.9076,2.0557,0.4791
2738.42,200.2598,-49.391,2.0026,0.4939
3162.28,194.7079,-50.5772,1.9471,0.5058
3651.74,188.9728,-51.4252,1.8897,0.5143
4216.97,183.121,-51.9054,1.8312,0.5191
4869.68,177.2255,-52.0022,1.7723,0.52
5623.41,171.362,-51.7159,1.7136,0.5172
6493.82,165.6044,-51.0623,1.656,0.5106
7498.94,160.0203,-50.0723,1.6002,0.5007
8659.64,154.6683,-48.7887,1.5467,0.4879
10000.0,149.5947,-47.2636,1.4959,0.4726
11547.82,144.8324,-45.5548,1.4483,0.4555
13335.21,140.4011,-43.722,1.404,0.4372
15399.27,136.3073,-41.824,1.3631,0.4182
17782.79,132.5469,-39.916,1.3255,0.3992
20535.25,129.1058,-38.0482,1.2911,0.3805
23713.74,125.9629,-36.2647,1.2596,0.3626
27384.2,123.0914,-34.6029,1.2309,0.34600
31622.78,120.4603,-33.0937,1.2046,0.3309
36517.41,118.0361,-31.762,1.1804,0.3176
42169.65,115.7834,-30.6269,1.1578,0.3063
48696.75,113.6654,-29.7021,1.1367,0.297
56234.13,111.6448,-28.9968,1.1164,0.29
64938.16,109.6833,-28.5151,1.0968,0.2852
74989.42,107.742,-28.2569,1.0774,0.2826
86596.43,105.7816,-28.2167,1.0578,0.2822
100000.0,103.7625,-28.3836,1.0376,0.2838
115478.2,101.6454,-28.7403,1.0165,0.2874
133352.14,99.392,-29.2621,0.9939,0.2926
153992.65,96.9672,-29.9164,0.9697,0.2992
177827.94,94.3405,-30.6617,0.9434,0.3066
205352.5,91.4889,-31.4479,0.9149,0.3145
237137.37,88.4004,-32.2173,0.884,0.3222
273841.96,85.0765,-32.907,0.8508,0.3291
316227.77,81.5352,-33.4525,0.8154,0.3345
365174.13,77.812,-33.7929,0.7781,0.3379
421696.5,73.9587,-33.8766,0.7396,0.3388
486967.53,70.041,-33.6664,0.7004,0.3367
562341.33,66.1329,-33.144,0.6613,0.33140
649381.63,62.3099,-32.3117,0.6231,0.3231
749894.21,58.6426,-31.1913,0.5864,0.3119
865964.32,55.1904,-29.8212,0.5519,0.2982
1000000.0,51.9981,-28.2509,0.52,0.28250
1154781.98,49.0937,-26.5357,0.4909,0.2654
1333521.43,46.4894,-24.7308,0.4649,0.24730
1539926.53,44.1836,-22.8876,0.4418,0.22890
1778279.41,42.1639,-21.0507,0.4216,0.21050
2053525.03,40.4105,-19.2563,0.4041,0.19260
2371373.71,38.8993,-17.5321,0.389,0.1753
2738419.63,37.6039,-15.8976,0.376,0.159
3162277.66,36.4982,-14.3656,0.365,0.1437
3651741.27,35.5571,-12.943,0.3556,0.1294
4216965.03,34.7575,-11.6321,0.3476,0.1163
4869675.25,34.0787,-10.4318,0.3408,0.1043
5623413.25,33.5025,-9.3385,0.335,0.0934
6493816.32,33.0132,-8.3472,0.3301,0.0835
7498942.09,32.5971,-7.4515,0.326,0.0745
8659643.23,32.2429,-6.6447,0.3224,0.0664
10000000.0,31.9408,-5.9198,0.3194,0.0592
