freq,zmeasR,zmeasI,zerrR,zerrI
1.591549e-5,2.90e6,-5.1e4,1.0e5,1.0e4
5.032921e-5,2.85e6,-6.9e4,1.0e5,1.0e4
1.591549e-4,2.79e6,-9.2e4,1.0e5,1.0e4
5.032921e-4,2.70e6,-1.2e5,1.0e5,1.0e4
1.591549e-3,2.62e6,-1.5e5,1.0e5,1.0e4
5.032921e-3,2.50e6,-1.8e5,1.0e5,1.0e4
1.591549e-2,2.35e6,-2.1e5,1.0e5,1.0e4
5.032921e-2,2.20e6,-2.3e5,1.0e5,1.0e4
1.591549e-1,2.00e6,-2.4e5,1.0e5,1.0e4
5.032921e-1,1.80e6,-2.3e5,1.0e5,1.0e4
1.591549e0,1.65e6,-2.1e5,1.0e5,1.0e4
5.032921e0,1.50e6,-1.8e5,1.0e5,1.0e4
1.591549e1,1.40e6,-1.5e5,1.0e5,1.0e4
5.032921e1,1.30e6,-1.2e5,1.0e5,1.0e4
1.591549e2,1.22e6,-9.4e4,1.0e5,1.0e4
5.032921e2,1.15e6,-7.4e4,1.0e5,1.0e4
1.591549e3,1.10e6,-6.4e4,1.0e5,1.0e4
5.032921e3,1.05e6,-7.4e4,1.0e5,1.0e4
1.591549e4,1.00e6,-1.4e5,1.0e5,1.0e4
5.032921e4,9.10e5,-3.2e5,1.0e5,1.0e4
1.591549e5,4.90e5,-5.1e5,1.0e5,1.0e4
5.032921e5,8.90e4,-2.9e5,1.0e4,1.0e4
1.591549e6,9.80e3,-9.9e4,1.0e3,1.0e4
5.032921e6,9.85e2,-3.2e4,1.0e2,1.0e3
1.591549e7,9.90e1,-1.0e4,1.0e1,1.0e3
5.032921e7,9.95e0,-3.2e3,1.0e0,1.0e2
1.591549e8,1.00e0,-1.0e3,1.0e-1,1.0e2
