freq,zmeasR,zmeasI,zerrR,zerrI
10.0,1199.9684,-2.5129,11.9997,0.0251
11.55,1199.9579,-2.9017,11.9996,0.029
13.34,1199.9439,-3.3506,11.9994,0.0335
15.4,1199.9251,-3.8688,11.9993,0.0387
17.78,1199.9002,-4.4671,11.999,0.0447
20.54,1199.8669,-5.1576,11.9987,0.0516
23.71,1199.8226,-5.9546,11.9982,0.0595
27.38,1199.7634,-6.8743,11.9976,0.0687
31.62,1199.6847,-7.9351,11.9968,0.079400
36.52,1199.5797,-9.1585,11.9958,0.0916
42.17,1199.4399,-10.5687,11.9944,0.1057
48.7,1199.2538,-12.1932,11.9925,0.1219
56.23,1199.0062,-14.063,11.9901,0.1406
64.94,1198.677,-16.2128,11.9868,0.162100
74.99,1198.2396,-18.681,11.9824,0.1868
86.6,1197.6593,-21.5093,11.9766,0.2151
100.0,1196.8908,-24.742,11.9689,0.2474
115.48,1195.8752,-28.4243,11.9588,0.2842
133.35,1194.5371,-32.5996,11.9454,0.326
153.99,1192.7809,-37.3056,11.9278,0.3731
177.83,1190.4877,-42.5674,11.9049,0.4257
205.35,1187.5132,-48.3884,11.8751,0.4839
237.14,1183.6882,-54.7383,11.8369,0.5474
273.84,1178.8239,-61.5369,11.7882,0.61540
316.23,1172.7244,-68.6379,11.7272,0.6864
365.17,1165.2099,-75.8134,11.6521,0.7581
421.7,1156.1506,-82.7473,11.5615,0.8275
486.97,1145.5104,-89.0438,11.4551,0.89040
562.34,1133.3896,-94.261,11.3339,0.94260
649.38,1120.054,-97.9685,11.2005,0.9797
749.89,1105.9314,-99.8239,11.0593,0.9982
865.96,1091.5673,-99.6438,10.9157,0.99640
1000.0,1077.5453,-97.4463,10.7755,0.9745
1154.78,1064.3954,-93.4468,10.6440,0.9345
1333.52,1052.519,-88.0088,10.5252,0.88010
1539.93,1042.1521,-81.5697,10.4215,0.8157
1778.28,1033.3685,-74.5671,10.3337,0.7457
2053.53,1026.1125,-67.3843,10.2611,0.6738
2371.37,1020.2426,-60.3222,10.2024,0.6032
2738.42,1015.5741,-53.5935,10.1557,0.5359
3162.28,1011.9109,-47.3319,10.1191,0.4733
3651.74,1009.067,-41.6075,10.0907,0.4161
4216.97,1006.8772,-36.4438,10.0688,0.3644
4869.68,1005.2019,-31.8328,10.052,0.3183
5623.41,1003.9264,-27.7466,10.0393,0.2775
6493.82,1002.9589,-24.1461,10.0296,0.2415
7498.94,1002.2271,-20.9873,10.0223,0.2099
8659.64,1001.6748,-18.225,10.0167,0.1823
10000.0,1001.2585,-15.8153,10.0126,0.1582
11547.82,1000.9453,-13.7171,10.0095,0.1372
13335.21,1000.7097,-11.8926,10.0071,0.1189
15399.27,1000.5327,-10.3077,10.0053,0.1031
17782.79,1000.3997,-8.9321,10.004,0.0893
20535.25,1000.2999,-7.7387,10.003,0.0774
23713.74,1000.225,-6.704,10.0022,0.067
27384.2,1000.1687,-5.807,10.0017,0.0581
31622.78,1000.1266,-5.0297,10.0013,0.0503
36517.41,1000.0949,-4.3563,10.0009,0.0436
42169.65,1000.0712,-3.7728,10.0007,0.0377
48696.75,1000.0534,-3.2674,10.0005,0.0327
56234.13,1000.04,-2.8297,10.0004,0.0283
64938.16,1000.03,-2.4505,10.0003,0.0245
74989.42,1000.0225,-2.1221,10.0002,0.0212
86596.43,1000.0169,-1.8377,10.0002,0.0184
100000.0,1000.0127,-1.5914,10.0001,0.0159
115478.2,1000.0095,-1.3782,10.0001,0.0138
133352.14,1000.0071,-1.1935,10.0001,0.0119
153992.65,1000.0053,-1.0335,10.0001,0.0103
177827.94,1000.004,-0.895,10.0,0.0089
205352.5,1000.003,-0.775,10.0,0.0078
237137.37,1000.0023,-0.6711,10.0,0.0067
273841.96,1000.0017,-0.5812,10.0,0.0058
316227.77,1000.0013,-0.5033,10.0,0.005
365174.13,1000.0009,-0.4358,10.0,0.0044
421696.5,1000.0007,-0.3774,10.0,0.0038
486967.53,1000.0005,-0.3268,10.0,0.0033
562341.33,1000.0004,-0.283,10.0,0.0028
649381.63,1000.0003,-0.2451,10.0,0.0025
749894.21,1000.0002,-0.2122,10.0,0.0021
865964.32,1000.0002,-0.1838,10.0,0.0018
1000000.0,1000.0001,-0.1592,10.0,0.0016
